TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2023-12-05,2023-12-05,CM,BSE,STK,500493,INE465A01025,BHARATFORG,A,,,,,Bharat Forge Ltd,1165.00,1185.90,1158.95,1170.05,1170.05,1157.85,,1170.50,,,88485,103793544.00,5207,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500495,INE042A01014,ESCORTS,A,,,,,Escorts Kubota Limited,3216.90,3228.25,3162.00,3201.75,3204.80,3212.15,,3202.55,,,6808,21806795.00,675,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500500,INE253A01025,HINDMOTORS,B,,,,,Hindustan Motors Ltd.,17.73,17.88,17.32,17.37,17.37,17.72,,17.35,,,170358,2985978.00,1046,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500510,INE018A01030,LT,A,,,,,LARSEN & TOU,3329.75,3329.75,3280.15,3315.15,3315.15,3313.65,,3315.45,,,83544,275785078.00,9546,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500520,INE101A01026,M&M,A,,,,,Mahindra & Mahindra Ltd.,1656.60,1708.00,1643.15,1685.10,1685.10,1656.70,,1686.05,,,69726,117656213.00,3162,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500530,INE323A01026,BOSCHLTD,A,,,,,BOSCH LTD,21810.05,22132.00,21420.00,21596.90,21691.00,21942.55,,21651.75,,,1324,28894929.00,527,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500540,INE342A01018,PREMIER,T,,,,,Premier Limited,3.25,3.59,3.25,3.48,3.48,3.42,,3.48,,,16860,59551.00,40,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500547,INE029A01011,BPCL,A,,,,,BHARAT PETRO,470.00,476.40,465.05,471.95,471.95,461.35,,472.20,,,606068,285735090.00,7378,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500550,INE003A01024,SIEMENS,A,,,,,Siemens Ltd.,3809.00,3850.00,3780.00,3845.25,3847.50,3805.85,,3843.55,,,7924,30274239.00,1186,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500570,INE155A01022,TATAMOTORS,A,,,,,Tata Motors Ltd.,709.95,715.00,705.30,708.30,708.30,705.45,,708.90,,,671733,475799457.00,11247,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500575,INE226A01021,VOLTAS,A,,,,,Voltas Ltd.,840.00,846.50,825.65,832.20,833.95,837.65,,832.50,,,33310,27976401.00,1076,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500620,INE017A01032,GESHIP,A,,,,,Great Eastern Shipping Co. Ltd.,895.00,903.00,881.50,900.10,900.00,891.60,,900.45,,,35184,31509716.00,2278,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500645,INE501A01019,DEEPAKFERT,A,,,,,DEEPAK FERT,649.00,654.15,636.15,639.90,639.90,644.95,,639.75,,,30882,19917768.00,1428,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500650,INE369A01029,EXCELINDUS,B,,,,,Excell Industries Ltd.,854.10,862.00,844.70,847.15,847.10,854.00,,846.55,,,1244,1062319.00,338,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500655,INE291A01017,GRWRHITECH,B,,,,,GARWARE HI-TECH FILMS LIMITED,1438.90,1506.15,1434.95,1453.60,1450.75,1430.10,,1453.45,,,1122,1643200.00,284,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500660,INE159A01016,GLAXO,A,,,,,GlaxoSmithkline Pharmaceuticals Ltd.,1696.05,1724.95,1686.00,1691.50,1690.55,1695.95,,1691.70,,,7571,12922922.00,788,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500670,INE113A01013,GNFC,A,,,,,GUJ NARMADA,712.25,719.00,702.75,711.90,711.90,712.20,,712.50,,,90207,64123814.00,3006,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500672,INE234A01025,NOVARTIND,B,,,,,NOVARTIS IND,719.15,723.95,709.15,713.70,713.70,719.15,,713.70,,,7348,5259958.00,674,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500674,INE058A01010,SANOFI,A,,,,,Sanofi India Ltd,8099.40,8198.65,8073.10,8167.65,8191.85,8099.40,,8175.05,,,407,3312525.00,209,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500680,INE182A01018,PFIZER,A,,,,,PFIZER LTD.,4035.05,4059.05,4025.00,4030.05,4030.00,4052.70,,4031.70,,,958,3868510.00,336,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500690,INE026A01025,GSFC,A,,,,,Gujarat State Fertilizers & Chem.Ltd,216.00,219.65,210.80,213.55,213.55,215.35,,213.40,,,1036196,222291891.00,9079,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500696,INE030A01027,HINDUNILVR,A,,,,,Hindustan Unilever Ltd.,2620.00,2635.15,2557.45,2563.20,2563.20,2601.90,,2563.25,,,170139,438615947.00,3713,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500710,INE133A01011,AKZOINDIA,A,,,,,Akzo Nobel India Limited,2507.85,2510.00,2478.95,2490.05,2499.80,2469.85,,2496.75,,,791,1967789.00,169,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500730,INE163A01018,NOCIL,A,,,,,NOCIL LTD,245.20,248.10,241.15,242.70,242.00,244.70,,242.60,,,44337,10840647.00,981,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500770,INE092A01019,TATACHEM,A,,,,,TATA CHEMICA,976.00,985.65,973.45,983.25,983.25,972.95,,983.20,,,101720,99823637.00,5489,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500777,INE148A01019,TNPETRO,B,,,,,Tamilnadu Petroproducts Ltd,89.00,91.70,89.00,90.27,90.27,89.36,,90.25,,,34324,3111021.00,401,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500780,INE217A01012,ZUARIIND,B,,,,,Zuari Industries Limited,168.15,173.00,164.50,165.85,165.85,168.15,,165.80,,,17434,2929454.00,869,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500790,INE239A01016,NESTLEIND,A,,,,,NESTLE LTD,24479.95,24676.65,24435.90,24605.45,24627.60,24399.25,,24608.85,,,981,24068397.00,510,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500800,INE192A01025,TATACONSUM,A,,,,,TATA CONSUMER PRODUCTS LIMITED,947.95,954.00,944.10,949.40,949.40,946.50,,950.05,,,25945,24659815.00,1354,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500820,INE021A01026,ASIANPAINT,A,,,,,Asian Paints Ltd.,3194.55,3248.05,3178.65,3226.20,3226.20,3194.35,,3226.25,,,27162,87403327.00,2742,F1,1,,,,,
2023-12-05,2023-12-05,CM,BSE,STK,500825,INE216A01030,BRITANNIA,A,,,,,Britannia Industries Ltd.,4931.05,4974.05,4931.05,4947.70,4947.70,4936.50,,4948.40,,,3997,19797044.00,773,F1,1,,,,,
